BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum
-1.165226805;-0.215391292;-1.053904995;-0.261835673;-1.447719037;-1.26904458;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.304404863;-1.443804223;-1.295430284;-1.468495968;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.053904995;-0.261835673;-1.447719037;-1.264223163;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.300783613;-1.441184456;-1.292446719;-1.46778165;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.259401745;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.297162363;-1.438564689;-1.28886644;-1.467067332;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.240345667;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.289919863;-1.414986782;-1.269890964;-1.449133677;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.240345667;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.289919863;-1.40712748;-1.266191343;-1.448350232;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.240345667;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.289919863;-1.399268178;-1.262491722;-1.430561416;-1.017442957;-1.29856063
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.279860835;-1.374380388;-1.24459033;-1.421897432;-1.017442957;-1.274468279
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.279860835;-1.366521086;-1.24459033;-1.421034984;-1.017442957;-1.274468279
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.279860835;-1.365211202;-1.24459033;-1.419659017;-1.017442957;-1.274468279
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.273020696;-1.362591435;-1.24184545;-1.419612932;-1.017442957;-1.261438743
