BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum
0;0;0.159090909;0;0;0.074849838;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.058008423;0.070647402;0.058447742;0.040320741;0.015721513;0.09517509
0;0;0.159090909;0;0;0.074849838;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.060997147;0.070647402;0.059796842;0.040709706;0.015721513;0.098350534
0;0;0.159090909;0;0;0.076389958;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061540552;0.071445677;0.060749147;0.041351857;0.015721513;0.098350534
0;0;0.159090909;0;0;0.084860619;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.070370874;0.077033607;0.07229585;0.044207335;0.015721513;0.108935344
0;0;0.159090909;0;0;0.084860619;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073223747;0.077831883;0.076422506;0.04451667;0.015721513;0.113522096
0;0;0.159090909;0;0;0.087940859;0;0;0;0.285714286;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.080423855;0.079428435;0.088842155;0.045357898;0.015721513;0.123577666
0;0;0.159090909;0;0;0.091252118;0;0;0;0.285714286;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088846624;0.085415503;0.098603285;0.056186664;0.015721513;0.138043574
0;0;0.159090909;0;0;0.091252118;0;0;0;0.285714286;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088846624;0.08781033;0.099833347;0.05642964;0.015721513;0.138043574
0;0;0.159090909;0;0;0.091252118;0;0;0;0.285714286;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088846624;0.090205157;0.101063408;0.062034422;0.015721513;0.138043574
0;0;0.159090909;0;0;0.104959187;0;0;0.009304207;0.285714286;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.095231626;0.098187914;0.108245377;0.067909744;0.015721513;0.148540178
