BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum;Biaya;Source
0.42;0;0.14;0;0;26.46;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;13.81;4.95;53.87;1622.87;7.21;32.54;160593;PGE
0.8;0;0.14;0;0;26.66;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;13.81;4.97;53.93;1627.22;7.21;32.54;11250;PGE
0.8;0;0.14;0;0;29.13;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;14.83;5.17;57.22;1684.24;7.21;33.8;186267;PGE
0.8;0;0.14;0;0;29.13;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;14.83;5.23;57.22;1686.94;7.21;33.8;8675;PGE
0.8;0;0.14;0;0;29.13;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;14.83;5.24;57.22;1691.62;7.21;33.8;8655;PGE
0.8;0;0.14;0;0;29.13;0;0;0.49;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;15;5.26;57.49;1691.62;7.21;34.33;16278;PGE
0.8;0;0.14;0;0;29.13;0;0;1.05;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;15.58;5.42;58.23;1766.71;7.21;35.19;228495;PGE
0.8;0;0.14;0;0;29.13;0;0;5.65;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;16.81;6.12;58.91;1899.53;7.21;35.47;290289;PGE
0.8;0;0.14;0;0;29.27;0;0;5.65;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;16.81;6.13;58.99;1909.65;11.79;35.47;6221;PGE
0.8;0;0.14;0;0.2;30.21;0;0;5.65;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;17.72;6.33;63.87;1995.01;15.63;36.68;186267;PGE
0.8;0;0.14;0;0.2;30.21;0;0;5.65;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;17.93;6.35;64.93;1997.95;15.63;37.21;16278;PGE
0.8;0;0.14;0;0.2;30.21;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;18.2;6.48;65.58;2056.27;15.63;37.21;131864;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.26;7.11;69.84;2160.96;15.63;37.98;202658;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.26;7.13;69.91;2161.81;15.63;37.98;4265;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.26;7.19;69.91;2164.51;15.63;37.98;8675;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.26;7.2;69.91;2168.69;15.63;37.98;8525;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.43;7.22;70.18;2168.69;15.63;38.51;16278;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.46;7.22;70.18;2181.02;15.63;38.87;14129;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.57;7.22;70.55;2198.94;15.63;39.24;23714;PGE
0.8;0;0.14;0;0.2;34.48;0;0;7.55;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;19.7;7.22;70.88;2198.94;15.63;39.72;19751;PGE
0.8;0;0.14;0;0.2;35.86;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;20.55;7.47;73.9;2296.71;15.63;40.46;74022;PGE
0.8;0;0.14;0;0.2;35.86;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;20.75;7.49;74.2;2307.85;15.63;41.11;39378;PGE
0.8;0;0.14;0;0.2;40.57;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;22.33;7.84;80.64;2377.77;15.63;42.18;202658;PGE
0.8;0;0.14;0;0.2;40.57;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;22.54;7.86;81.7;2380.71;15.63;42.71;16278;PGE
0.8;0;0.14;0;0.2;41.33;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.04;7.93;82.18;2387.63;15.63;44.65;64613;PGE
0.8;0;0.14;0;0.2;41.33;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.26;7.93;82.4;2401.35;15.63;45.32;37304;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.52;8.14;83.98;2429.72;15.63;46.31;214091;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.52;8.15;83.98;2434.23;15.63;46.31;8000;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.52;8.23;84.14;2438.74;15.63;46.31;8000;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.52;8.23;84.14;2728.51;15.63;46.31;6000;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.69;8.25;84.46;2728.51;15.63;46.82;16278;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;23.99;8.25;84.78;2728.51;15.63;47.36;37841;PGE
0.8;0;0.14;0;0.2;43.12;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;24.05;8.25;84.78;2728.51;15.63;47.7;20741;PGE
0.8;0;0.14;0;0.2;44.03;0;0;8.01;0.06;0;0.77;0;0;0;0;0.36;0;0;0.95;0;0;0;0;0;24.77;8.44;86.36;2762.91;15.63;47.7;116741;PGE
0.8;0;0.19;0;0.2;44.56;0;0;8.01;0.06;0;0.77;0;0.07;0;0;0.36;0;0;0.95;0;0;0;0;0;24.77;8.56;86.91;2790.47;15.63;47.7;202183;PGE
0.8;0;0.19;0;0.2;45.09;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;24.86;8.73;88.25;2804.66;15.63;47.7;111172;PGE
0.8;0;0.19;0;0.2;45.09;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;24.86;8.76;88.33;2808.59;15.63;47.7;24555;PGE
0.8;0;0.19;0;0.2;45.09;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;24.86;8.78;88.4;2810.17;15.63;47.7;9088;PGE
0.8;0;0.19;0;0.2;47.74;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;25.79;9.06;92.67;2897.98;15.63;49.44;214091;PGE
0.8;0;0.19;0;0.2;47.74;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;26;9.08;93.78;2900.92;15.63;49.95;16278;PGE
0.8;0;0.19;0;0.2;47.74;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;26.34;9.1;94.02;2909.17;15.63;49.95;26940;PGE
0.8;0;0.22;0;0.2;48.07;0;0;8.01;0.06;0;0.77;0;0.11;0;0;0.36;0;0;0.95;0;0;0;0;0;26.34;9.14;94.42;2918.06;15.63;49.95;151638;PGE
0.8;0;0.22;0;0.2;48.36;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;26.79;9.23;94.42;2980.1;16.39;49.95;183315;PGE
0.8;0;0.22;0;0.2;48.36;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;26.79;9.3;94.54;3212.83;41.65;49.95;2500;PGE
0.8;0;0.22;0;0.2;48.36;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;26.79;9.36;94.85;3267.73;41.65;49.95;21250;PGE
0.8;0;0.22;0;0.2;48.36;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;26.83;9.36;94.85;3268.8;41.65;49.95;2500;PGE
0.8;0;0.22;0;0.2;48.36;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;26.83;9.38;94.85;3269.85;41.65;49.95;6250;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.34;9.51;96.47;3295.6;41.65;51.04;141861;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.34;9.54;96.53;3560.31;41.65;51.04;5000;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.34;9.54;96.53;3713.93;41.65;51.04;6000;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.51;9.56;96.85;3713.93;41.65;51.55;17615;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.67;9.56;97.15;3713.93;41.65;51.55;16018;PGE
0.8;0;0.22;0;0.2;49.48;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;27.67;9.56;97.15;3714.71;41.65;51.55;16705;PGE
0.8;0;0.22;0;0.2;50.16;0;0;8.24;0.06;0;0.77;0;0.11;0.07;0;0.36;0;0;0.95;0;0;0;0;0;28.12;9.64;98.41;3733.69;41.65;52.2;70803;PGE
0.8;0;0.29;0;0.2;50.84;0;0.01;8.66;0.06;0;0.77;0;0.16;0.07;0;0.36;0;0;0.95;2.61;0;0;0;0;28.16;9.78;99.44;3755.28;41.65;52.2;151785;PGE
0.8;0;0.29;0;0.2;50.84;0;0.01;8.66;0.06;0;0.77;0;0.16;0.07;0;0.36;0;0;0.95;2.61;0;0;0;0;28.16;9.8;99.52;3758.8;41.65;52.2;12992;PGE
0.8;0;0.29;0;0.2;50.84;0;0.01;8.66;0.06;0;0.77;0;0.16;0.07;0;0.36;0;0;0.95;2.61;0;0;0;0;28.16;9.82;99.59;3760.4;41.65;52.2;7319;PGE
